Product URL,Descriptions
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723248/2019/10/30/e78e8d83-5ed6-4bbf-9d82-e0960b79ebee1572411986072-Levis-thermal-tops-571572411985317-1.jpg",Levis Men Off-White Solid Thermal Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2318914/2017/12/8/11512719898314-Dollar-Ultra-Mens-full-Sleeve-V-Neck-Off-White-Thermal-Vest-4301512719898170-1.jpg",Dollar Ultra White Thermal T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/18/2e207665-a063-4947-8f5d-e4b05f3c33481574075122887-1.jpg",Dollar Ultra Men Grey Striped Thermal T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/12/feb69c90-2cd1-49b1-9e78-7df06c52a4861573539501638-1.jpg",Force NXT Men Charcoal Grey Solid Assorted Thermal Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2318884/2017/12/8/11512719863751-Dollar-Ultra-Mens-full-Sleeve-V-Neck-Black-Thermal-Vest-7191512719863551-1.jpg",Dollar Ultra Men Charcoal Grey Thermal T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2150657/2017/9/28/11506592702070-VIMAL-Men-Thermal-Tops-711506592701781-1.jpg",VIMAL Charcoal Grey Thermal T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/8/15dce4e5-8dd8-4276-8814-5792e5d758fd1573207197565-1.jpg",Force NXT Men Charcoal Grey Solid Assorted Thermal Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2318893/2017/12/8/11512719872104-Dollar-Ultra-Mens-full-Sleeve-V-Neck-Off-White-Thermal-Vest-4391512719872009-1.jpg",Dollar Ultra Men White Thermal T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/11/25/35ffe6e1-334e-45e1-aee0-e7a58869878c1543085368492-1.jpg",HIGHLANDER Men Blue Tapered Fit Mid-Rise Mildly Distressed Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12422180/2020/9/25/2340885b-78ba-43f0-8b36-bd7a5ff32e411601019779087-WROGN-Men-Jeans-1071601019776943-1.jpg",WROGN Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11889146/2020/5/29/ffe4be77-4318-4f6e-baf8-71940c96862a1590729869377LOCOMOTIVEMenGreyTaperedFitJeans1.jpg",LOCOMOTIVE Men Grey Tapered Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10187421/2019/8/17/047798f7-c470-4f63-a455-91a28fad53931566021696540-WROGN-Men-Jeans-9211566021694933-1.jpg",WROGN Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7605284/2019/9/5/b5bd6b46-21cd-47f1-a46d-6c463e2be6451567686107699-LOCOMOTIVE-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Stre-1.jpg",LOCOMOTIVE Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans
